id,property_id,old_total,new_total,property_name,action
11479,3b0217a8-3082-41a9-8682-b198aff8bd30,,4,Timberline Glamping at Unicoi State Park,update
11480,3b0217a8-3082-41a9-8682-b198aff8bd30,,4,Timberline Glamping at Unicoi State Park,update
11481,39258203-1777-4e86-bad1-87c346dbab3d,,4,Timberline Glamping at Orange Beach,update
11482,39258203-1777-4e86-bad1-87c346dbab3d,,4,Timberline Glamping at Orange Beach,update
11483,39258203-1777-4e86-bad1-87c346dbab3d,,4,Timberline Glamping at Orange Beach,update
11484,6e1182a0-f5bd-4b05-9bf0-9535e439ddda,,4,Timberline Glamping at Auburn,update
11485,6e1182a0-f5bd-4b05-9bf0-9535e439ddda,,4,Timberline Glamping at Auburn,update
11486,6e1182a0-f5bd-4b05-9bf0-9535e439ddda,,4,Timberline Glamping at Auburn,update
11487,9fca255e-1157-40ba-8803-67c905d6d62a,,4,Timberline Glamping at Lake Martin,update
11488,9fca255e-1157-40ba-8803-67c905d6d62a,,4,Timberline Glamping at Lake Martin,update
11489,9fca255e-1157-40ba-8803-67c905d6d62a,,4,Timberline Glamping at Lake Martin,update
11490,8c0b7054-507d-46e8-8028-c473a5e3c7ce,,4,Timberline Glamping at Lake Guntersville,update
11491,8c0b7054-507d-46e8-8028-c473a5e3c7ce,,4,Timberline Glamping at Lake Guntersville,update
11492,8c0b7054-507d-46e8-8028-c473a5e3c7ce,,4,Timberline Glamping at Lake Guntersville,update
11493,7ca4a532-2119-4cf0-a966-3ce639e8714f,,4,Timberline Glamping at Cheaha,update
11494,7ca4a532-2119-4cf0-a966-3ce639e8714f,,4,Timberline Glamping at Cheaha,update
11495,7ca4a532-2119-4cf0-a966-3ce639e8714f,,4,Timberline Glamping at Cheaha,update
11496,a56229e5-3b26-4448-ae37-07a5ffda8cee,,4,Timberline Glamping at Huntsville,update
11497,a56229e5-3b26-4448-ae37-07a5ffda8cee,,4,Timberline Glamping at Huntsville,update
11498,a56229e5-3b26-4448-ae37-07a5ffda8cee,,4,Timberline Glamping at Huntsville,update
11499,f66de9cb-322a-4458-b1d4-fbfb0010e9e6,,4,Timberline Glamping at Birmingham,update
11500,f66de9cb-322a-4458-b1d4-fbfb0010e9e6,,4,Timberline Glamping at Birmingham,update
11501,f66de9cb-322a-4458-b1d4-fbfb0010e9e6,,4,Timberline Glamping at Birmingham,update
11502,1e814d0a-46dd-4388-81b2-ecabec513b7b,,4,Timberline Glamping at Tuscaloosa,update
11503,1e814d0a-46dd-4388-81b2-ecabec513b7b,,4,Timberline Glamping at Tuscaloosa,update
11504,1e814d0a-46dd-4388-81b2-ecabec513b7b,,4,Timberline Glamping at Tuscaloosa,update
11505,07797397-0aeb-4edf-84c2-53a83e9c85be,,4,Timberline Glamping at Lake Blackshear,update
11506,07797397-0aeb-4edf-84c2-53a83e9c85be,,4,Timberline Glamping at Lake Blackshear,update
